test##123456##1##0##2024-04-17 15:44##2025-03-13 17:00##50.5##2024-04-17 15:58##1##49.5##0
test1##123456##0##0##2024-03-20 14:19##2025-03-20 14:19##50.0##2024-03-20 14:19##0##50.0##0
test2##123456##0##0##2024-03-20 17:00##2025-03-20 17:00##50.0##2024-03-20 17:00##0##50.0##0
test3##123456##0##0##2024-03-20 17:00##2025-03-20 17:00##50.0##2024-03-20 17:00##0##50.0##0
test4##123456##1##0##2024-03-27 14:14##2025-03-27 14:14##50.0##2024-03-27 14:14##0##50.0##0
test5##123456##0##0##2024-03-27 14:14##2025-03-27 14:14##13.0##2024-03-27 14:14##0##13.0##0
test6##123456##1##0##2024-03-27 14:21##2025-03-27 14:21##50.0##2024-03-27 14:21##0##50.0##0
test7##123456##0##0##2024-03-27 14:25##2025-03-27 14:25##50.0##2024-03-27 14:25##0##50.0##0
test8##123456##1##0##2024-03-27 14:25##2025-03-27 14:25##50.0##2024-03-27 14:25##0##50.0##0
test9##123456##0##0##2024-03-27 14:30##2025-03-27 14:30##50.0##2024-03-27 14:30##0##50.0##0
test10##123456##0##0##2024-03-27 14:30##2025-03-27 14:30##50.0##2024-03-27 14:30##0##50.0##0
test11##123456##0##0##2024-03-27 14:33##2025-03-27 14:33##50.0##2024-03-27 14:33##0##50.0##0
test12##123456##1##0##2024-03-27 14:33##2025-03-27 14:33##50.0##2024-03-27 14:33##0##50.0##0
test13##123456##0##0##2024-03-27 14:35##2025-03-27 14:35##50.0##2024-03-27 14:35##0##50.0##0
test14##123456##1##0##2024-03-27 14:36##2025-03-27 14:36##50.0##2024-03-27 14:36##0##50.0##0
test15##123456##0##0##2024-03-27 14:55##2025-03-27 14:55##50.0##2024-03-27 14:55##0##50.0##0
test16##123456##0##0##2024-03-27 15:05##2025-03-27 15:05##50.0##2024-03-27 15:05##0##50.0##0
test17##123456##1##0##2024-03-27 15:06##2025-03-27 15:06##50.0##2024-03-27 15:06##0##50.0##0
test18##123456##0##0##2024-03-27 15:07##2025-03-27 15:07##50.0##2024-03-27 15:07##0##50.0##0
test19##123456##0##0##2024-03-27 15:09##2025-03-27 15:09##50.0##2024-03-27 15:09##0##50.0##0
test20##123456##0##0##2024-03-27 15:09##2025-03-27 15:09##50.0##2024-03-27 15:09##0##50.0##0
test21##123456##1##0##2024-03-27 15:27##2025-03-27 15:27##50.0##2024-03-27 15:27##0##50.0##0
test22##123456##0##0##2024-03-27 16:23##2025-03-27 16:23##50.0##2024-03-27 16:23##0##50.0##0
test23##123456##0##0##2024-03-27 16:48##2025-03-27 16:48##50.0##2024-03-27 16:48##0##50.0##0
test24##123456##1##0##2024-03-27 16:48##2025-03-27 16:48##50.0##2024-03-27 16:48##0##50.0##0
test25##123456##0##0##2024-03-27 16:50##2025-03-27 16:50##50.0##2024-03-27 16:50##0##50.0##0
test26##123456##0##0##2024-03-27 16:55##2025-03-27 16:55##50.0##2024-03-27 16:55##0##50.0##0
test27##123456##1##0##2024-03-27 17:01##2025-03-27 17:01##50.0##2024-03-27 17:01##0##50.0##0
test28##123456##0##0##2024-03-27 21:10##2025-03-27 21:10##50.0##2024-03-27 21:10##0##50.0##0
test29##123456##1##0##2024-03-27 21:11##2025-03-27 21:11##50.0##2024-03-27 21:11##0##50.0##0
test30##123456##0##0##2024-03-27 22:30##2025-03-27 22:30##50.0##2024-03-27 22:30##0##50.0##0
test31##132456##0##0##2024-03-27 22:31##2025-03-27 22:31##50.0##2024-03-27 22:31##0##50.0##0
test32##123456##0##0##2024-03-27 23:10##2025-03-27 23:10##50.0##2024-03-27 23:10##0##50.0##0
test33##123456##1##0##2024-03-27 23:16##2025-03-27 23:16##50.0##2024-03-27 23:16##0##50.0##0
test34##123456##0##0##2024-03-27 23:19##2025-03-27 23:19##50.0##2024-03-27 23:19##0##50.0##0
test35##123456##0##0##2024-03-27 23:30##2025-03-27 23:30##50.0##2024-03-27 23:30##0##50.0##0
test36##123456##1##0##2024-03-28 00:08##2025-03-28 00:08##50.0##2024-03-28 00:08##0##50.0##0
test37##123456##1##0##2024-03-30 00:29##2025-03-30 00:29##50.0##2024-04-24 15:09##0##50.0##0
test38##123456##1##0##2024-04-03 16:46##2025-04-03 16:46##50.0##2024-04-03 16:46##0##50.0##0
test39##123456##0##0##2024-04-06 00:24##2025-04-06 00:24##50.0##2024-04-06 00:24##0##50.0##0
wyl##86156##0##0##2024-04-06 00:24##2025-04-06 00:24##56.0##2024-04-06 00:24##0##56.0##0
dsa##5648##0##0##2024-04-06 00:24##2025-04-06 00:24##2.0##2024-04-06 00:24##0##2.0##0
446##8549##0##0##2024-04-06 00:24##2025-04-06 00:24##16.0##2024-04-06 00:24##0##16.0##0
loser##1456##0##0##2024-04-06 00:24##2025-04-06 00:24##85.0##2024-04-06 00:24##0##85.0##0
jonny##156##0##0##2024-04-06 00:25##2025-04-06 00:25##15.0##2024-04-06 00:25##0##15.0##0
Loser##123456##0##0##2024-04-08 16:56##2025-04-08 16:56##50.0##2024-04-08 16:56##0##50.0##0
Winner##4682##0##0##2024-04-08 16:57##2025-04-08 16:57##12.0##2024-04-08 16:57##0##12.0##0
testn##123465##0##0##2024-04-08 16:57##2025-04-08 16:57##5.0##2024-04-08 16:57##0##5.0##0
